Tissue ,Expt,Treatment ,Sample ID,Blot ID,Lane,[Protein] (ug),Ponceau IntegratedDensity,HSP-RelativeDensity,HSP Ratio,ControlAverage,foldChange
FB,Heat,HSC,HSC-2,1,2,5,7707527,10313.669,0.001338129,0.00120107,1.114114609
FB,Heat,HSC,HSC-4,1,3,5,7691488,11753.548,0.001528124,0.00120107,1.272302419
FB,Heat,HSC,HSC-6,1,4,5,6877515,5068.426,0.000736956,0.00120107,0.613582972
FB,Heat,HS2,HS2-2,1,5,5,7272743,25873.397,0.003557584,0.00120107,2.962012902
FB,Heat,HS2,HS2-4,1,6,5,7298705,12912.497,0.001769149,0.00120107,1.472977651
FB,Heat,HS2,HS2-6,1,7,5,7249524,5701.376,0.000786448,0.00120107,0.654789831
FB,Heat,HS24,HS24-2,1,8,5,7283807,11530.619,0.001583048,0.00120107,1.318031917
FB,Heat,HS24,HS24-4,1,9,5,6715446,26152.518,0.003894383,0.00120107,3.242428313
FB,Heat,HS24,HS24-6,1,10,5,7040529,21290.033,0.003023925,0.00120107,2.517693029
FB,Heat,HSC,HSC-8,2,2,5,36615188,3057.962,8.35162E-05,0.000334905,0.249372985
FB,Heat,HSC,HSC-10,2,3,5,37227401,10072.861,0.000270577,0.000334905,0.807920654
FB,Heat,HSC,HSC-12,2,4,5,39479057,25685.933,0.000650622,0.000334905,1.942706361
FB,Heat,HS2,HS2-8,2,5,5,33444072,25931.811,0.000775378,0.000334905,2.315220106
FB,Heat,HS2,HS2-10,2,6,5,34746105,23735.518,0.000683113,0.000334905,2.039722909
FB,Heat,HS2,HS2-12,2,7,5,32659659,13992.276,0.000428427,0.000334905,1.279249643
FB,Heat,HS24,HS24-8,2,8,5,33190025,15146.276,0.00045635,0.000334905,1.362626636
FB,Heat,HS24,HS24-10,2,9,5,34237447,10345.276,0.000302163,0.000334905,0.902234222
FB,Heat,HS24,HS24-12,2,10,5,36556119,11755.276,0.000321568,0.000334905,0.960177081
FB,Heat,HSC,HSC-14,3,2,5,61127359,19133.104,0.000313004,0.000242402,1.291257395
FB,Heat,HSC,HSC-16,3,3,5,56009672,12060.569,0.00021533,0.000242402,0.888316626
FB,Heat,HSC,HSC-18,3,4,5,58765373,11686.861,0.000198873,0.000242402,0.820425979
FB,Heat,HS2,HS2-14,3,5,5,62349142,19347.811,0.000310314,0.000242402,1.280160366
FB,Heat,HS2,HS2-16,3,6,5,64863424,21974.225,0.000338777,0.000242402,1.397580135
FB,Heat,HS2,HS2-18,3,7,5,65282561,25159.225,0.00038539,0.000242402,1.589875431
FB,Heat,HS24,HS24-14,3,8,5,63777833,24437.933,0.000383173,0.000242402,1.580730136
FB,Heat,HS24,HS24-16,3,9,5,61453808,20978.347,0.000341368,0.000242402,1.408268573
FB,Heat,HS24,HS24-18,3,10,5,59508153,24711.468,0.000415262,0.000242402,1.713109396
M,Heat,HSC,HSC-2,4,2,10,46113377,5975.569,0.000129584,0.000168814,0.767615647
M,Heat,HSC,HSC-4,4,3,10,45786372,9525.569,0.000208044,0.000168814,1.232384353
M,Heat,HS2,HS2-2,4,5,10,41081305,16987.861,0.000413518,0.000168814,2.44954797
M,Heat,HS2,HS2-4,4,6,10,40501689,19287.447,0.000476213,0.000168814,2.820935083
M,Heat,HS2,HS2-6,4,7,10,40750833,1741.142,4.27265E-05,0.000168814,0.253098273
M,Heat,HS24,HS24-2,4,8,10,40860808,23023.518,0.000563462,0.000168814,3.337768528
M,Heat,HS24,HS24-4,4,9,10,44612422,29273.347,0.00065617,0.000168814,3.886941999
M,Heat,HS24,HS24-6,4,10,10,46412853,9530.225,0.000205336,0.000168814,1.216343867
M,Heat,HSC,HSC-8,5,2,10,36978661,19719.64,0.000533271,0.000285063,1.870713951
M,Heat,HSC,HSC-10,5,3,10,34124390,7013.518,0.000205528,0.000285063,0.720992261
M,Heat,HSC,HSC-12,5,4,10,33516490,3900.962,0.000116389,0.000285063,0.408293788
M,Heat,HS2,HS2-8,5,5,10,34193662,19375.397,0.000566637,0.000285063,1.987762895
M,Heat,HS2,HS2-10,5,6,10,34608509,7838.376,0.000226487,0.000285063,0.794516255
M,Heat,HS2,HS2-12,5,7,10,37096335,15189.276,0.000409455,0.000285063,1.436367774
M,Heat,HS24,HS24-8,5,8,10,37454285,27669.518,0.000738754,0.000285063,2.591550446
M,Heat,HS24,HS24-10,5,9,10,37995332,23918.861,0.000629521,0.000285063,2.208359812
M,Heat,HS24,HS24-12,5,10,10,39466136,17567.468,0.000445128,0.000285063,1.561507761
M,Heat,HSC,HSC-14,6,2,10,48023250,10075.569,0.000209806,0.000258143,0.812751636
M,Heat,HSC,HSC-18,6,4,10,47209846,14468.861,0.00030648,0.000258143,1.187248364
M,Heat,HS2,HS2-14,6,5,10,47589910,14372.326,0.000302004,0.000258143,1.169908766
M,Heat,HS2,HS2-16,6,6,10,47585093,19631.619,0.000412558,0.000258143,1.598177505
M,Heat,HS2,HS2-18,6,7,10,47679525,5982.69,0.000125477,0.000258143,0.486076247
M,Heat,HS24,HS24-14,6,8,10,47553650,21804.933,0.000458533,0.000258143,1.776277107
M,Heat,HS24,HS24-16,6,9,10,46242005,23281.64,0.000503474,0.000258143,1.95036876
M,Heat,HS24,HS24-18,6,10,10,45168529,15143.397,0.000335264,0.000258143,1.298754842
Mg,Heat,HSC,HSC-2,7,2,10,47821431,17874.861,0.000373783,0.000342291,1.092006556
Mg,Heat,HSC,HSC-4,7,3,10,39759569,15875.861,0.000399297,0.000342291,1.166543022
Mg,Heat,HSC,HSC-6,7,4,10,40309775,10230.276,0.000253791,0.000342291,0.741450422
Mg,Heat,HS2,HS2-2,7,5,10,39991179,31131.933,0.00077847,0.000342291,2.274296167
Mg,Heat,HS2,HS2-4,7,6,10,39858288,31509.104,0.000790528,0.000342291,2.30952439
Mg,Heat,HS2,HS2-6,7,7,10,40050644,29493.74,0.000736411,0.000342291,2.151421398
Mg,Heat,HS24,HS24-2,7,8,10,40181396,29826.276,0.000742291,0.000342291,2.168598492
Mg,Heat,HS24,HS24-4,7,9,10,40018554,6884.912,0.000172043,0.000342291,0.50262275
Mg,Heat,HS24,HS24-6,7,10,10,49405006,19988.296,0.00040458,0.000342291,1.181979532
Mg,Heat,HSC,HSC-8,8,2,10,49468113,24688.811,0.000499085,0.000356449,1.400160721
Mg,Heat,HSC,HSC-10,8,3,10,45505809,12570.033,0.000276229,0.000356449,0.774948135
Mg,Heat,HSC,HSC-12,8,4,10,45221024,13296.397,0.000294031,0.000356449,0.824891143
Mg,Heat,HS2,HS2-8,8,5,10,46007403,3824.79,8.31342E-05,0.000356449,0.233229207
Mg,Heat,HS2,HS2-10,8,6,10,46636364,15204.861,0.00032603,0.000356449,0.914662408
Mg,Heat,HS2,HS2-12,8,7,10,49757869,32728.811,0.000657762,0.000356449,1.845319263
Mg,Heat,HS24,HS24-8,8,8,10,49525350,25421.225,0.000513297,0.000356449,1.440031461
Mg,Heat,HS24,HS24-12,8,10,10,57639730,20309.811,0.000352358,0.000356449,0.988523512
Mg,Heat,HSC,HSC-14,9,2,10,42092913,3581.154,8.50774E-05,0.000271943,0.312850096
Mg,Heat,HSC,HSC-16,9,3,10,43045686,22976.104,0.000533761,0.000271943,1.962768283
Mg,Heat,HSC,HSC-18,9,4,10,44162646,8699.619,0.00019699,0.000271943,0.724381622
Mg,Heat,HS2,HS2-14,9,5,10,42389181,23242.811,0.000548319,0.000271943,2.016303488
Mg,Heat,HS2,HS2-16,9,6,10,42791428,28908.104,0.000675558,0.000271943,2.484191693
Mg,Heat,HS2,HS2-18,9,7,10,42932481,26131.811,0.000608672,0.000271943,2.238235597
Mg,Heat,HS24,HS24-14,9,8,10,42001096,29414.518,0.000700327,0.000271943,2.575273681
Mg,Heat,HS24,HS24-16,9,9,10,40751780,31522.225,0.000773518,0.000271943,2.844412365
Mg,Heat,HS24,HS24-18,9,10,10,40151071,23595.69,0.000587673,0.000271943,2.161015212
MT,Heat,HSC,HSC-2,10,2,5,7501790,15397.569,0.002052519,0.001861332,1.102715496
MT,Heat,HSC,HSC-4,10,3,5,7500912,20483.619,0.002730817,0.001861332,1.467130819
MT,Heat,HSC,HSC-6,10,4,5,7558514,6051.79,0.000800659,0.001861332,0.430153686
MT,Heat,HS2,HS2-2,10,5,5,7521318,18383.397,0.002444172,0.001861332,1.313130946
MT,Heat,HS2,HS2-4,10,6,5,7524590,14292.255,0.001899406,0.001861332,1.020455654
MT,Heat,HS2,HS2-6,10,7,5,7509605,10553.205,0.001405294,0.001861332,0.754994002
MT,Heat,HS24,HS24-2,10,8,5,7464126,31054.347,0.00416048,0.001861332,2.235216839
MT,Heat,HS24,HS24-4,10,9,5,6434374,16479.962,0.002561238,0.001861332,1.376024372
MT,Heat,HS24,HS24-6,10,10,5,7378753,15403.083,0.002087491,0.001861332,1.121504199
MT,Heat,HSC,HSC-12,11,4,5,47802945,9050.569,0.000189331,0.000189331,1
MT,Heat,HS2,HS2-8,11,5,5,46989909,24089.69,0.000512657,0.000189331,2.707730124
MT,Heat,HS2,HS2-10,11,6,5,48857172,27907.347,0.000571203,0.000189331,3.016956141
MT,Heat,HS2,HS2-12,11,7,5,48793480,11244.276,0.000230446,0.000189331,1.217162246
MT,Heat,HS24,HS24-8,11,8,5,48219642,28596.225,0.000593041,0.000189331,3.132301029
MT,Heat,HS24,HS24-10,11,9,5,49366363,30848.225,0.000624883,0.000189331,3.300485407
MT,Heat,HS24,HS24-12,11,10,5,56403851,23468.589,0.000416081,0.000189331,2.19764223
MT,Heat,HSC,HSC-14,12,2,5,29640342,17899.397,0.000603886,0.00060782,0.993528027
