Tissue,Expt,Treatment,Sample ID,rpl18 Cq,hsp70 Cq,DeltaCq,meanCtrlDeltaCq,DeltaDeltaCq,FoldChange
MT,Acclimation,WK0,WK0-MT3,27.6,29.94,2.34,1.121666667,1.218333333,0.429778932
MT,Acclimation,WK0,WK0-MT4,26.15,27.09,0.94,1.121666667,-0.181666667,1.1341934
MT,Acclimation,WK0,WK0-MT5,29.15333333,30.12,0.966666667,1.121666667,-0.155,1.113421618
MT,Acclimation,WK0,WK0-MT7,20.41666667,20.975,0.558333333,1.121666667,-0.563333333,1.477679441
MT,Acclimation,WK0,WK0-MT9,22.15,22.95333333,0.803333333,1.121666667,-0.318333333,1.246889254
MT,Acclimation,WK3,WK3-MT1,26.595,29.15333333,2.558333333,1.121666667,1.436666667,0.36941986
MT,Acclimation,WK3,WK3-MT2,23.57666667,25.29666667,1.72,1.121666667,0.598333333,0.660516573
MT,Acclimation,WK3,WK3-MT3,24.11666667,26.36,2.243333333,1.121666667,1.121666667,0.459562611
MT,Acclimation,WK3,WK3-MT4,31.07,30.045,-1.025,1.121666667,-2.146666667,4.428035126
MT,Acclimation,WK3,WK3-MT5,31.495,30.20333333,-1.291666667,1.121666667,-2.413333333,5.327037118
MT,Acclimation,WK3,WK3-MT6,23.33,24.175,0.845,1.121666667,-0.276666667,1.211392737
MT,Acclimation,WK3,WK3-MT7,23.74,24.19,0.45,1.121666667,-0.671666667,1.592912109
MT,Acclimation,WK3,WK3-MT8,22.69,23.87,1.18,1.121666667,0.058333333,0.960372945
MT,Acclimation,WK3,WK3-MT9,20.205,21.71333333,1.508333333,1.121666667,0.386666667,0.764894847
MT,Acclimation,WK6,WK6-MT1,24.04666667,26.66666667,2.62,1.121666667,1.498333333,0.353962068
MT,Acclimation,WK6,WK6-MT2,21.52333333,24.58,3.056666667,1.121666667,1.935,0.261521235
MT,Acclimation,WK6,WK6-MT3,22.24,26.2,3.96,1.121666667,2.838333333,0.139822328
MT,Acclimation,WK6,WK6-MT4,23.415,23.21,-0.205,1.121666667,-1.326666667,2.508224819
MT,Acclimation,WK6,WK6-MT5,25.61,25.54666667,-0.063333333,1.121666667,-1.185,2.273633946
MT,Acclimation,WK6,WK6-MT7,24.04,24.27,0.23,1.121666667,-0.891666667,1.855318234
MT,Acclimation,WK6,WK6-MT8,20.65,21.61,0.96,1.121666667,-0.161666667,1.118578625
MT,Acclimation,WK6,WK6-MT9,21.11333333,22.37666667,1.263333333,1.121666667,0.141666667,0.906471353
MG,Acclimation,WK0,WK0-MG2,22.59872087,23.17019833,0.571477455,0.597196602,-0.025719147,1.017987007
MG,Acclimation,WK0,WK0-MG3,24.61480266,25.18407622,0.569273558,0.597196602,-0.027923045,1.019543298
MG,Acclimation,WK0,WK0-MG4,24.83845076,25.40458461,0.566133846,0.597196602,-0.031062756,1.021764528
MG,Acclimation,WK0,WK0-MG5,25.27233549,25.87415544,0.601819949,0.597196602,0.004623346,0.99680047
MG,Acclimation,WK0,WK0-MG6,26.86261223,27.5294489,0.66683667,0.597196602,0.069640067,0.952875698
MG,Acclimation,WK0,WK0-MG8,20.55336257,21.16100071,0.607638137,0.597196602,0.010441534,0.992788608
MG,Acclimation,WK3,WK3-MG1,24.44364955,24.87153894,0.42788939,0.597196602,-0.169307212,1.124518357
MG,Acclimation,WK3,WK3-MG2,22.23484713,22.72303796,0.488190832,0.597196602,-0.109005771,1.078484746
